postalCode,lat,lng
20850,21.8272,-102.7603
20852,21.8075,-102.7028
20854,21.7698,-102.7438
20856,21.7682,-102.7483
20860,21.8206,-102.7712
20862,21.7984,-102.7935
20864,21.8248,-102.8486
20870,21.869,-102.7469
20872,21.9025,-102.7944
20874,21.8844,-102.8204
20880,21.9339,-102.6986
20882,21.9404,-102.7501
20884,21.9007,-102.7049
20890,21.9991,-102.6721
20892,22.0314,-102.7189
20460,22.3653,-102.3058
20462,22.3653,-102.3058
20466,22.3653,-102.3058
20467,22.3606,-102.297
20468,22.3653,-102.3058
20469,22.3606,-102.297
20470,22.4083,-102.2861
20472,22.3147,-102.26
20476,22.3871,-102.3232
20478,22.3467,-102.2578
20900,21.9321,-102.4455
20901,22.024,-102.3076
20902,21.8939,-102.4915
20903,21.9893,-102.306
20904,21.9747,-102.3297
20905,21.9633,-102.3219
20907,21.9636,-102.3019
20908,21.9553,-102.3164
20909,21.9859,-102.3046
20910,21.9885,-102.3317
20913,22.005,-102.3272
20914,22.0156,-102.3288
20916,21.9999,-102.356
20917,21.9321,-102.4455
20920,21.9567,-102.4729
20922,21.9321,-102.4455
20923,21.9621,-102.3344
20924,21.9584,-102.323
20925,21.9344,-102.4273
20926,21.9444,-102.3533
20927,21.9503,-102.3578
20928,21.9378,-102.392
20933,21.9486,-102.3622
20934,21.957,-102.3689
20943,21.9447,-102.5814
20945,21.9364,-102.5219
20947,21.9291,-102.4941
20953,21.9056,-102.4605
20955,21.9133,-102.5356
20956,21.8664,-102.5173
20957,21.8824,-102.4894
20964,21.9444,-102.3778
20970,21.8485,-102.5368
20974,21.8585,-102.5725
20983,21.9439,-102.3228
20984,21.9439,-102.3228
20986,21.9439,-102.3228
20990,21.8841,-102.4622
20994,21.9177,-102.4267
20995,21.9344,-102.4273
20996,21.923,-102.3855
20997,21.9104,-102.3675
20663,22.1045,-102.3017
20664,22.1045,-102.3017
20665,22.1064,-102.3006
20666,22.0533,-102.3097
20667,22.145,-102.345
20668,22.1272,-102.2856
20670,22.1918,-102.1492
20673,22.1918,-102.1492
20674,22.1045,-102.3017
20675,22.1045,-102.3017
20676,22.1918,-102.1492
20677,22.1045,-102.3017
20678,22.1918,-102.1492
20680,22.0856,-102.2706
20683,22.1006,-102.225
20684,22.1111,-102.2628
20686,22.1669,-102.2483
20687,22.1328,-102.2725
20400,22.1856,-102.3151
20403,22.2674,-102.3407
20404,22.1856,-102.3151
20405,22.2674,-102.3407
20406,22.2378,-102.3325
20410,22.2233,-102.3136
20414,22.2745,-102.274
20415,22.3256,-102.2344
20416,22.2745,-102.274
20417,22.2674,-102.3407
20420,22.2533,-102.3372
20423,22.2828,-102.3036
20424,22.2714,-102.2692
20425,22.3486,-102.2336
20426,22.3628,-102.2211
20427,22.3058,-102.2342
20430,22.2093,-102.3105
20434,22.1706,-102.2847
20435,22.1956,-102.2996
20436,22.2674,-102.3407
20437,22.1421,-102.3522
20440,22.2357,-102.3566
20444,22.2344,-102.418
20445,22.2539,-102.3597
20446,22.2674,-102.3407
20447,22.3074,-102.4319
20450,22.2589,-102.3689
20454,22.2906,-102.3614
20456,22.265,-102.3563
20457,22.265,-102.3563
20500,22.1484,-102.4147
20501,22.1308,-102.3717
20502,22.1567,-102.4358
20503,22.06,-102.5186
20504,22.1567,-102.4358
20506,22.1466,-102.5258
20508,22.2331,-102.4442
20510,22.2627,-102.5279
20516,22.2627,-102.5279
20520,22.1662,-102.557
20525,22.1317,-102.5411
20530,22.1897,-102.5994
20534,22.1897,-102.5994
20538,22.1897,-102.5994
20540,22.1496,-102.4823
20545,22.161,-102.4712
20550,22.0278,-102.5718
20560,22.1092,-102.5178
20564,22.1251,-102.5133
20567,22.0933,-102.5223
20570,22.1333,-102.5013
20574,22.1333,-102.5013
20576,22.1333,-102.5013
20578,22.1333,-102.5013
20580,22.0278,-102.5718
20584,22.0278,-102.5718
20590,22.0143,-102.484
20600,22.0656,-102.2444
20602,22.0656,-102.2444
20603,22.237,-102.1921
20604,22.0656,-102.2444
20605,22.237,-102.1921
20607,22.0656,-102.2444
20608,22.0656,-102.2444
20610,22.2867,-102.239
20612,22.2535,-102.1681
20613,22.237,-102.1921
20614,22.2606,-102.2484
20615,22.2569,-102.2319
20616,22.2282,-102.2503
20620,22.315,-102.1687
20622,22.2984,-102.1916
20634,22.2164,-102.2368
20637,22.209,-102.2499
20645,22.1914,-102.2666
20650,22.2019,-102.1356
20654,22.265,-102.2531
20656,22.1831,-102.246
20657,22.1875,-102.1907
20658,22.1702,-102.1426
20659,22.1619,-102.1915
20330,21.918,-101.9645
20333,21.9253,-102.1284
20334,21.9215,-102.0354
20335,21.9853,-101.9447
20336,21.9689,-102.0192
20337,21.9215,-102.0354
20338,21.9192,-102.0419
20339,21.8422,-102.0808
20300,22.0331,-102.229
20303,22.0105,-102.2846
20304,22.0497,-102.2542
20305,22.06,-102.2769
20350,21.9856,-102.2803
20353,22.0204,-102.2429
20355,22.0242,-102.2771
20356,22.0331,-102.229
20357,22.061,-102.1981
20358,21.9603,-102.2689
22750,32.0987,-116.5686
22755,32.0589,-116.6469
22756,32.0893,-116.5418
22760,31.8971,-116.7053
22765,32.0646,-116.8787
22766,31.9704,-116.6524
22767,31.9661,-116.7208
22770,32.0476,-116.1246
22771,31.9343,-116.1331
22780,31.8167,-116.5667
22785,31.6986,-116.5444
22789,31.6109,-115.8919
22790,31.5946,-116.4568
22793,31.7411,-116.6049
22794,31.705,-116.6443
22795,31.6234,-116.4384
22796,31.6465,-116.5577
22800,31.8156,-116.5761
22810,31.8841,-116.5857
22812,31.8841,-116.5765
22813,31.9007,-116.577
22814,31.9014,-116.5478
22815,31.9051,-116.5838
22818,31.8873,-116.6143
22819,31.9494,-116.5694
22820,31.8828,-116.643
22822,31.8902,-116.6228
22823,31.89,-116.6321
22830,31.8142,-116.5739
22835,31.7303,-116.5542
22839,32.0819,-116.5883
22840,31.7988,-116.5914
22842,31.8252,-116.613
22847,31.8248,-116.6019
22850,31.868,-116.571
22852,31.8471,-116.569
22855,31.8318,-116.5636
22859,31.8318,-116.5636
22860,31.8851,-116.6644
22863,31.8759,-116.6523
22870,31.8367,-116.6307
22872,31.8493,-116.6395
22873,31.8654,-116.6619
22879,31.8711,-116.6433
22880,31.8156,-116.5761
22887,31.8156,-116.5761
22888,31.8156,-116.5761
22889,31.8156,-116.5761
22890,30.8595,-116.0833
22892,31.6223,-116.5451
22895,31.8108,-116.5939
22896,30.0357,-114.9586
22897,31.8273,-116.6066
22898,31.8494,-116.5906
22900,31.3252,-116.2466
22903,31.4186,-116.2675
22904,30.8454,-116.0452
22905,31.2495,-116.1599
22907,30.8185,-116.0599
22908,31.0914,-116.1964
22909,31.0857,-116.1934
22910,30.8422,-116.0633
22914,30.9598,-116.0516
22915,30.9227,-116.1297
22916,31.0419,-116.0278
22917,31.4021,-115.7278
22920,30.6798,-115.9765
22922,30.7706,-115.9369
22925,30.6579,-115.9694
22930,30.5468,-115.9766
22931,30.5468,-115.9766
22933,30.5468,-115.9766
22934,30.5468,-115.9766
22940,30.6513,-115.953
22945,30.0357,-114.9586
22950,30.4009,-115.8943
22951,30.4811,-115.8174
22952,30.2894,-115.8042
22955,30.3688,-115.8437
22960,30.0731,-115.7084
22964,29.9668,-115.0977
22965,29.7294,-114.7208
22967,29.7224,-115.131
22969,29.7303,-114.7205
22970,30.6939,-115.8968
22971,30.6939,-115.8968
22973,30.6939,-115.8968
22980,30.6939,-115.8968
22984,30.6939,-115.8968
22990,30.0357,-114.9586
22991,30.6939,-115.8968
22993,30.6939,-115.8968
22995,30.0357,-114.9586
